2025-08-24T05:57:08.538Z [AUDIT] Token created by 'anonymous': tokenId='3738b641-bf93-440a-8745-2e00fe08236a', issuer='jfrou@01k3dadrcbtvwy2ktf3s9ehtjd', subject='jfrou@01k3dadrcbtvwy2ktf3s9ehtjd', expiry=none, refreshable=false
2025-08-24T06:58:20.555Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='aed49eaf-cf1f-469d-b3c5-b65be9ef5f5d', issuer='jfac@01k3dadp7e688m028tztv9160g', subject='jfac@01k3dadp7e688m028tztv9160g', expiry=1756018820554, refreshable=false
2025-08-24T07:05:33.096Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='3ebd34ec-f874-4fca-99f2-fe4109330a93', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756019733095, refreshable=false
2025-08-24T07:09:31.144Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='16907d21-f779-4c0d-9b7e-95ea1e2b10ef', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/jffe@01k3dadp7e688m028tztv9160g', expiry=1756019971143, refreshable=false
2025-08-24T07:09:31.202Z [AUDIT] Token refreshed by 'jffe@01k3dadp7e688m028tztv9160g': oldTokenId='96309a1c-0c72-4d03-9997-7bc2a06c632f', tokenId='f9f83798-e692-4267-8c2a-c619e732910a', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756021171201, refreshable=true
2025-08-24T07:09:44.138Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='86a2736a-9573-4d03-910d-2bdfc144ebf4', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756019984138, refreshable=false
2025-08-24T07:09:44.138Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='e7d3cb2b-ef9a-44e4-a928-f84d300e5da7', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756019984138, refreshable=false
2025-08-24T07:09:44.138Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='d3bbac41-5d0f-4746-84fd-900831f11c31', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756019984138, refreshable=false
2025-08-24T07:09:44.256Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='39c06c78-6b65-4dca-85b4-b85a0d6675d5', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756019984256, refreshable=false
2025-08-24T07:10:01.226Z [AUDIT] Token revoked by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='96309a1c-0c72-4d03-9997-7bc2a06c632f', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756019625573, refreshable=true
2025-08-24T07:13:31.017Z [AUDIT] Token created by 'jfcfg@01k3dadp7e688m028tztv9160g': tokenId='7cf0f752-66eb-40b1-af79-0b79ee5978bd', issuer='jfcfg@01k3dadp7e688m028tztv9160g', subject='jfcfg@01k3dadp7e688m028tztv9160g', expiry=1756021411016, refreshable=false
2025-08-24T07:14:37.494Z [AUDIT] Token refreshed by 'jffe@01k3dadp7e688m028tztv9160g': oldTokenId='f9f83798-e692-4267-8c2a-c619e732910a', tokenId='e798ff3e-caa7-4085-8660-0e9d74777e27', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756021477491, refreshable=true
2025-08-24T07:15:07.514Z [AUDIT] Token revoked by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='f9f83798-e692-4267-8c2a-c619e732910a', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756021171201, refreshable=true
2025-08-24T07:15:36.078Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='88c88abc-0237-4e63-92f3-cba2d6964eab', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756020336074, refreshable=false
2025-08-24T07:21:23.999Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='62b27ed5-c687-4d87-9b24-f78b61e84bb3', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/jffe@01k3dadp7e688m028tztv9160g', expiry=1756020683986, refreshable=false
2025-08-24T07:21:24.082Z [AUDIT] Token refreshed by 'jffe@01k3dadp7e688m028tztv9160g': oldTokenId='e798ff3e-caa7-4085-8660-0e9d74777e27', tokenId='6501751d-3b9e-4d8c-b5a3-95628e6c0fae', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756021884081, refreshable=true
2025-08-24T07:21:54.096Z [AUDIT] Token revoked by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='e798ff3e-caa7-4085-8660-0e9d74777e27', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756021477491, refreshable=true
2025-08-24T07:25:48.098Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='638bc45b-f0be-4a98-89ab-306fe91b308b', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756020948096, refreshable=false
2025-08-24T07:25:50.366Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='788642f0-11aa-4782-8280-124a7bb276ac', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756020950365, refreshable=false
2025-08-24T07:25:52.635Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='a5edbd94-2f8c-450c-b6e6-25c967577c24', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756020952634, refreshable=false
2025-08-24T07:25:54.524Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='22d638eb-6d7a-4b05-a4ae-ffccd8f44cd9', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756020954523, refreshable=false
2025-08-24T07:26:24.978Z [AUDIT] Token refreshed by 'jffe@01k3dadp7e688m028tztv9160g': oldTokenId='6501751d-3b9e-4d8c-b5a3-95628e6c0fae', tokenId='379d98a5-4892-4fa8-8c4a-353ae0572d96', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756022184976, refreshable=true
2025-08-24T07:26:25.283Z [AUDIT] Token created by 'jfrt@01k3dadv4an03k1v3xy8fe0ccm': tokenId='4d6e5f1c-30a9-4d11-b0d1-31f88acf828e', issuer='jfrt@01k3dadv4an03k1v3xy8fe0ccm', subject='jfrt@01k3dadv4an03k1v3xy8fe0ccm', expiry=1756020685283, refreshable=false
2025-08-24T07:26:25.284Z [AUDIT] Token created by 'jfrt@01k3dadv4an03k1v3xy8fe0ccm': tokenId='3cbfad91-84e9-42f7-b39c-058893f5fe7d', issuer='jfrt@01k3dadv4an03k1v3xy8fe0ccm', subject='jfrt@01k3dadv4an03k1v3xy8fe0ccm', expiry=1756020685283, refreshable=false
2025-08-24T07:26:25.284Z [AUDIT] Token created by 'jfrt@01k3dadv4an03k1v3xy8fe0ccm': tokenId='e941a38f-6a5d-4338-9978-e2c0e955f0e6', issuer='jfrt@01k3dadv4an03k1v3xy8fe0ccm', subject='jfrt@01k3dadv4an03k1v3xy8fe0ccm', expiry=1756020685283, refreshable=false
2025-08-24T07:26:25.284Z [AUDIT] Token created by 'jfrt@01k3dadv4an03k1v3xy8fe0ccm': tokenId='010703d6-c23d-4dde-9e34-a5c12e688fa7', issuer='jfrt@01k3dadv4an03k1v3xy8fe0ccm', subject='jfrt@01k3dadv4an03k1v3xy8fe0ccm', expiry=1756020685284, refreshable=false
2025-08-24T07:26:25.284Z [AUDIT] Token created by 'jfrt@01k3dadv4an03k1v3xy8fe0ccm': tokenId='8b377527-03f6-45d1-a69b-472f7b806e18', issuer='jfrt@01k3dadv4an03k1v3xy8fe0ccm', subject='jfrt@01k3dadv4an03k1v3xy8fe0ccm', expiry=1756020685283, refreshable=false
2025-08-24T07:26:25.287Z [AUDIT] Token created by 'jfrt@01k3dadv4an03k1v3xy8fe0ccm': tokenId='44457bf4-233a-4fbe-b877-6dd4506d5cdc', issuer='jfrt@01k3dadv4an03k1v3xy8fe0ccm', subject='jfrt@01k3dadv4an03k1v3xy8fe0ccm', expiry=1756020685287, refreshable=false
2025-08-24T07:26:25.288Z [AUDIT] Token created by 'jfrt@01k3dadv4an03k1v3xy8fe0ccm': tokenId='4dfdf44b-b676-4c28-81bc-0e9c5ebab11b', issuer='jfrt@01k3dadv4an03k1v3xy8fe0ccm', subject='jfrt@01k3dadv4an03k1v3xy8fe0ccm', expiry=1756020685288, refreshable=false
2025-08-24T07:26:25.294Z [AUDIT] Token created by 'jfrt@01k3dadv4an03k1v3xy8fe0ccm': tokenId='bc4f4a59-cebf-44f8-8cb4-7517247b59c7', issuer='jfrt@01k3dadv4an03k1v3xy8fe0ccm', subject='jfrt@01k3dadv4an03k1v3xy8fe0ccm', expiry=1756020685293, refreshable=false
2025-08-24T07:26:25.294Z [AUDIT] Token created by 'jfrt@01k3dadv4an03k1v3xy8fe0ccm': tokenId='79cb6bdd-f06c-4ec9-a239-6d129c3a2915', issuer='jfrt@01k3dadv4an03k1v3xy8fe0ccm', subject='jfrt@01k3dadv4an03k1v3xy8fe0ccm', expiry=1756020685293, refreshable=false
